16,1,4
13,5,4
48,6,4
6,8,5
17,9,4
41,10,5
13,12,5
47,3,3
17,8,4
47,13,5
46,14,4
3,2,5
17,14,5
46,15,4
3,16,4
41,12,5
13,2,5
10,8,5
16,17,4
8,5,4
14,17,4
46,1,3
13,14,5
19,8,2
18,18,3
10,18,3
34,1,3
7,3,4
14,8,5
18,19,2
19,18,4
20,20,3
18,21,3
7,6,5
8,4,4
19,22,5
49,23,4
19,15,4
19,30,2
17,18,4
6,19,2
41,1,3
41,4,5
7,17,5
47,9,5
47,23,4
41,9,5
8,3,3
10,17,4
47,8,5
20,14,4
29,12,5
20,15,3
34,14,2
46,7,4
48,23,1
7,27,4
29,9,5
32,30,3
48,8,4
13,27,1
32,24,4
29,28,5
49,15,3
49,7,4
14,18,4
3,12,5
19,23,2
29,4,5
48,9,3
19,5,4
32,29,5
48,17,1
20,6,5
49,27,4
13,8,4
48,15,1
32,48,3
46,20,1
3,19,3
18,23,3
29,19,4
14,22,4
41,20,3
18,27,2
6,2,5
20,26,3
18,9,5
47,22,4
49,29,3
20,7,4
20,29,5
41,17,5
7,8,5
7,48,3
29,24,4
8,18,3
8,16,3
42,15,4
34,48,4
42,21,4
32,28,4
19,28,4
6,18,5
8,10,3
7,9,4
16,5,3
3,30,4
48,4,3
32,23,3
14,4,5
16,28,4
46,48,1
18,15,1
17,22,5
8,1,3
29,15,4
6,21,4
29,23,5
10,15,3
3,8,4
10,13,5
8,30,2
17,2,4
3,14,4
6,23,4
14,26,5
47,7,5
22,3,3
42,10,2
14,24,3
13,48,2
17,5,5
8,23,3
14,1,4
10,1,3
34,7,4
7,23,4
48,5,4
49,9,5
6,16,4
10,4,3
13,29,5
41,7,5
48,7,3
7,2,3
14,29,5
7,7,5
18,2,3
18,8,3
49,18,4
6,10,5
16,22,3
46,19,1
18,3,4
47,21,4
3,8,5
22,24,3
6,27,1
8,27,3
32,7,5
45,12,4
8,8,3
16,18,4
22,21,3
17,19,3
16,2,4
29,20,5
10,14,4
45,23,5
34,26,2
17,13,3
10,30,5
3,23,4
29,17,5
47,28,5
32,8,1
7,18,4
3,6,5
45,9,5
49,14,5
13,15,2
7,14,5
16,6,4
14,15,3
9,16,4
19,4,4
6,9,5
3,21,4
13,16,2
19,12,5
29,8,5
45,6,5
34,2,4
4,8,4
20,9,5
13,13,2
41,8,5
41,18,5
38,6,2
4,23,5
41,29,5
16,8,4
17,21,3
18,12,4
29,8,3
4,12,5
29,13,3
32,8,5
38,8,3
7,21,4
32,27,3
22,26,4
8,7,2
20,5,5
9,24,4
16,29,5
29,21,5
34,5,4
4,16,4
38,13,3
34,8,4
32,22,4
47,1,4
22,29,4
20,4,5
9,4,5
3,28,5
22,14,4
14,21,3
32,13,4
46,26,3
30,2,5
47,27,5
30,18,3
22,20,5
22,4,4
19,17,3
46,21,4
2,29,4
47,6,5
41,26,4
4,15,5
20,28,5
30,4,5
24,5,5
22,15,3
9,29,1
4,30,5
24,6,4
47,24,4
4,17,5
21,13,5
9,22,4
12,6,4
19,29,4
6,20,5
13,23,3
22,9,4
8,21,3
48,29,5
13,26,4
20,13,5
34,21,4
2,10,5
14,7,4
17,12,5
46,16,2
42,26,3
3,5,5
3,26,5
4,8,5
30,6,4
32,17,4
30,8,4
21,28,3
30,7,4
22,17,4
49,5,4
4,26,5
4,21,5
6,24,3
2,28,4
41,22,4
13,10,5
17,30,4
20,12,5
21,22,5
19,21,4
49,8,4
34,29,3
24,19,4
3,4,5
4,28,5
12,12,4
9,9,5
24,7,3
42,24,5
38,5,4
7,16,1
49,20,5
18,22,4
35,29,5
17,16,3
47,14,3
21,27,2
21,4,5
38,17,3
22,30,3
18,26,3
47,18,5
13,22,4
8,17,3
48,28,2
45,4,5
30,24,3
41,27,3
2,17,5
34,24,4
29,48,4
9,10,4
38,15,3
3,18,4
9,8,4
2,7,4
32,4,5
7,5,4
10,2,3
35,18,5
21,17,5
16,10,3
49,2,5
6,30,3
2,21,3
18,7,3
2,1,4
22,7,4
22,23,4
42,18,2
30,9,5
20,23,4
35,30,4
45,5,4
24,12,5
35,9,5
42,30,5
6,26,4
44,3,1
14,12,5
12,26,4
17,29,5
30,28,5
41,30,5
8,8,4
35,23,5
3,24,4
35,2,5
2,26,4
7,29,5
32,20,4
29,5,5
21,16,4
42,7,3
2,12,4
7,15,3
24,20,5
6,3,5
9,12,2
29,18,5
7,12,5
44,6,5
2,6,5
3,29,5
29,10,5
13,18,3
30,8,3
29,22,5
35,10,4
4,5,5
2,16,4
30,17,4
9,30,4
6,4,5
44,8,3
42,14,2
31,15,3
17,7,4
10,9,2
24,24,3
7,26,4
17,28,4
20,2,5
20,17,5
3,3,5
48,8,1
24,2,3
29,2,5
14,28,4
32,15,3
18,28,3
31,20,4
6,8,5
21,3,3
12,8,5
19,14,2
12,3,5
31,2,2
13,1,3
27,7,5
30,13,2
20,8,5
27,3,2
30,30,4
7,20,4
16,12,5
48,12,5
27,28,3
4,10,3
24,1,4
13,24,3
5,26,4
24,17,3
38,8,3
35,13,5
29,29,3
9,13,5
49,28,4
46,29,3
31,10,4
32,6,4
5,3,2
44,10,3
38,30,2
35,7,5
46,30,2
41,16,4
4,20,5
31,14,5
4,1,5
32,3,4
31,4,2
5,10,3
22,2,4
4,6,5
5,48,3
17,10,4
13,30,3
27,24,3
5,7,4
50,4,5
47,8,4
50,28,5
34,17,5
5,22,4
50,18,4
27,1,2
35,26,4
17,24,4
10,28,3
35,5,5
17,15,2
20,18,5
24,4,3
13,7,2
18,4,5
4,22,5
42,1,2
50,21,5
7,10,5
19,2,2
44,23,3
44,9,3
22,27,4
6,29,5
48,3,5
18,16,2
38,4,3
4,14,5
31,6,5
49,4,5
4,4,5
6,12,5
32,5,4
5,15,2
32,21,3
21,8,5
5,23,3
18,24,3
35,14,4
2,22,5
32,10,4
16,16,3
20,21,5
24,13,5
14,5,4
31,19,4
12,30,4
5,9,3
2,24,3
10,16,2
44,20,5
9,18,4
20,1,2
